order_id,order_date,region,category,salesperson,quantity,unit_price,sales_amount,profit
S0051,2025-02-14,华南,办公用品,张伟,17,674.0,9882.52,2561.87
S0052,2025-02-16,华南,家具,陈晨,15,478.0,9070.05,922.56
S0053,2025-02-18,华南,家具,陈晨,9,282.0,3210.57,680.27
S0054,2025-02-15,华南,家具,刘洋,37,633.0,29627.56,3008.63
S0055,2025-02-04,华北,电子产品,赵敏,39,245.0,12708.15,1111.74
S0056,2025-02-12,华北,电子产品,陈晨,24,347.0,11076.24,2724.29
S0057,2025-02-16,华北,电子产品,李娜,38,308.0,15566.32,4211.93
S0058,2025-02-24,华北,办公用品,刘洋,26,450.0,8336.25,1093.66
S0059,2025-02-08,华北,办公用品,王强,11,198.0,1551.82,138.08
S0060,2025-02-03,华北,办公用品,陈晨,38,794.0,21497.55,5553.58
S0061,2025-02-03,华北,家具,赵敏,34,721.0,25617.13,6626.88
S0062,2025-02-09,华北,家具,赵敏,21,307.0,6737.11,1579.2
S0063,2025-02-18,华北,家具,陈晨,19,349.0,6929.4,685.27
S0064,2025-02-23,西南,电子产品,李娜,18,268.0,5402.88,1444.53
S0065,2025-02-22,西南,电子产品,张伟,6,168.0,1128.96,277.98
S0066,2025-02-18,西南,电子产品,刘洋,31,209.0,7256.48,1450.4
S0067,2025-02-24,西南,办公用品,陈晨,6,221.0,795.6,113.03
S0068,2025-02-11,西南,办公用品,张伟,16,779.0,7478.4,1347.22
S0069,2025-02-07,西南,办公用品,张伟,37,90.0,1998.0,251.61
S0070,2025-02-08,西南,家具,赵敏,5,567.0,2494.8,260.37
S0071,2025-02-11,西南,家具,李娜,37,579.0,18852.24,3699.25
S0072,2025-02-03,西南,家具,陈晨,35,658.0,20266.4,4521.06
S0073,2025-03-14,华东,电子产品,刘洋,33,174.0,10450.44,1094.69
S0074,2025-03-04,华东,电子产品,王强,7,366.0,4662.84,653.68
S0075,2025-03-13,华东,电子产品,李娜,22,557.0,22302.28,6046.7
S0076,2025-03-15,华东,办公用品,赵敏,38,745.0,27602.25,2345.42
S0077,2025-03-18,华东,办公用品,张伟,10,536.0,5226.0,528.76
S0078,2025-03-04,华东,办公用品,赵敏,31,381.0,11515.73,3146.63
S0079,2025-03-11,华东,家具,王强,11,751.0,11813.23,2845.48
S0080,2025-03-16,华东,家具,张伟,27,645.0,24903.45,2081.12
S0081,2025-03-12,华东,家具,李娜,15,677.0,14521.65,3475.95
S0082,2025-03-23,华南,电子产品,刘洋,16,462.0,11901.12,2394.54
S0083,2025-03-03,华南,电子产品,王强,31,514.0,25653.74,4169.1
S0084,2025-03-24,华南,电子产品,刘洋,37,386.0,22994.02,4837.62
S0085,2025-03-07,华南,办公用品,李娜,14,406.0,4902.45,635.2
S0086,2025-03-24,华南,办公用品,张伟,39,617.0,20754.34,5049.82
S0087,2025-03-09,华南,办公用品,张伟,35,127.0,3833.81,762.49
S0088,2025-03-23,华南,家具,张伟,11,673.0,9364.8,1330.43
S0089,2025-03-04,华南,家具,李娜,37,743.0,34776.11,3933.4
S0090,2025-03-13,华南,家具,张伟,25,190.0,6008.75,619.49
S0091,2025-03-20,华北,电子产品,张伟,29,119.0,4589.83,527.5
S0092,2025-03-20,华北,电子产品,王强,20,505.0,13433.0,2903.45
S0093,2025-03-18,华北,电子产品,刘洋,33,308.0,13518.12,2445.5
S0094,2025-03-12,华北,办公用品,李娜,32,692.0,15777.6,1399.39
S0095,2025-03-16,华北,办公用品,赵敏,36,250.0,6412.5,832.84
S0096,2025-03-01,华北,办公用品,王强,38,379.0,10261.42,922.0
S0097,2025-03-03,华北,家具,刘洋,37,457.0,17669.9,1772.9
S0098,2025-03-17,华北,家具,张伟,8,117.0,978.12,259.17
S0099,2025-03-06,华北,家具,刘洋,34,687.0,24409.11,6359.32
S0100,2025-03-16,西南,电子产品,赵敏,16,657.0,11773.44,2777.3
S0101,2025-03-20,西南,电子产品,赵敏,26,640.0,18636.8,1992.47
S0102,2025-03-21,西南,电子产品,王强,16,450.0,8064.0,2028.21
S0103,2025-03-06,西南,办公用品,李娜,32,357.0,6854.4,1425.12
S0104,2025-03-04,西南,办公用品,王强,7,180.0,756.0,132.74
S0105,2025-03-13,西南,办公用品,王强,26,247.0,3853.2,591.48
S0106,2025-03-05,西南,家具,陈晨,30,315.0,8316.0,1296.4
S0107,2025-03-17,西南,家具,刘洋,13,293.0,3351.92,904.25
S0108,2025-03-12,西南,家具,赵敏,34,426.0,12745.92,1856.73
S0109,2025-04-05,华东,电子产品,陈晨,38,690.0,47720.4,10045.98
S0110,2025-04-02,华东,电子产品,李娜,24,463.0,20223.84,4177.91
S0111,2025-04-15,华东,电子产品,陈晨,11,609.0,12192.18,1468.93
S0112,2025-04-23,华东,办公用品,赵敏,22,699.0,14993.55,1595.62
S0113,2025-04-14,华东,办公用品,张伟,27,148.0,3896.1,877.18
S0114,2025-04-24,华东,办公用品,刘洋,23,753.0,16886.03,1814.94
S0115,2025-04-11,华东,家具,陈晨,10,656.0,9380.8,1864.31
S0116,2025-04-03,华东,家具,李娜,39,652.0,36362.04,9788.86
S0117,2025-04-13,华东,家具,赵敏,30,504.0,21621.6,2140.75
S0118,2025-04-01,华南,电子产品,赵敏,10,203.0,3268.3,630.75
S0119,2025-04-18,华南,电子产品,陈晨,21,415.0,14031.15,2589.12
S0120,2025-04-06,华南,电子产品,赵敏,37,655.0,39018.35,6962.07
S0121,2025-04-19,华南,办公用品,张伟,9,750.0,5821.87,605.16
S0122,2025-04-18,华南,办公用品,王强,30,143.0,3700.12,782.85
S0123,2025-04-18,华南,办公用品,王强,37,637.0,20328.26,4355.25
S0124,2025-04-16,华南,家具,李娜,30,726.0,27551.7,6405.95
S0125,2025-04-08,华南,家具,张伟,32,342.0,13844.16,1978.16
S0126,2025-04-14,华南,家具,王强,38,186.0,8941.02,2389.27
S0127,2025-04-05,华北,电子产品,赵敏,30,355.0,14164.5,3200.29
S0128,2025-04-15,华北,电子产品,王强,38,754.0,38107.16,8995.59
S0129,2025-04-01,华北,电子产品,陈晨,9,350.0,4189.5,1161.86
S0130,2025-04-07,华北,办公用品,刘洋,34,764.0,18507.9,1919.19
S0131,2025-04-12,华北,办公用品,赵敏,35,538.0,13416.38,1400.46
S0132,2025-04-03,华北,办公用品,王强,6,573.0,2449.57,201.99
S0133,2025-04-24,华北,家具,王强,30,674.0,21129.9,2938.57
S0134,2025-04-13,华北,家具,刘洋,16,398.0,6654.56,934.2
S0135,2025-04-10,华北,家具,刘洋,30,642.0,20126.7,2055.29
S0136,2025-04-19,西南,电子产品,刘洋,6,713.0,4791.36,655.37
S0137,2025-04-01,西南,电子产品,赵敏,6,156.0,1048.32,293.34
S0138,2025-04-17,西南,电子产品,刘洋,9,548.0,5523.84,541.82
S0139,2025-04-11,西南,办公用品,张伟,35,100.0,2100.0,269.15
S0140,2025-04-01,西南,办公用品,刘洋,34,639.0,13035.6,1559.59
S0141,2025-04-01,西南,办公用品,张伟,15,552.0,4968.0,433.37
S0142,2025-04-24,西南,家具,陈晨,10,117.0,1029.6,207.14
S0143,2025-04-06,西南,家具,张伟,38,251.0,8393.44,2097.37
S0144,2025-04-03,西南,家具,陈晨,28,656.0,16163.84,4292.45
S0145,2025-05-11,华东,电子产品,张伟,34,582.0,36014.16,8916.96
S0146,2025-05-17,华东,电子产品,赵敏,20,225.0,8190.0,859.82
S0147,2025-05-03,华东,电子产品,刘洋,23,616.0,25785.76,5311.93
S0148,2025-05-02,华东,办公用品,李娜,20,191.0,3724.5,845.18
S0149,2025-05-13,华东,办公用品,刘洋,5,274.0,1335.75,296.51
S0150,2025-05-02,华东,办公用品,赵敏,31,520.0,15717.0,1428.68
S0151,2025-05-12,华东,家具,陈晨,5,110.0,786.5,202.0
S0152,2025-05-19,华东,家具,李娜,19,204.0,5542.68,545.09
S0153,2025-05-14,华东,家具,陈晨,18,785.0,20205.9,3469.6
S0154,2025-05-11,华南,电子产品,张伟,13,538.0,11260.34,2189.94
S0155,2025-05-11,华南,电子产品,赵敏,13,761.0,15927.73,2234.16
S0156,2025-05-11,华南,电子产品,刘洋,23,583.0,21588.49,4530.27
S0157,2025-05-17,华南,办公用品,王强,10,186.0,1604.25,291.44
S0158,2025-05-24,华南,办公用品,张伟,36,421.0,13072.05,1357.45
S0159,2025-05-15,华南,办公用品,王强,38,280.0,9177.0,1293.41
S0160,2025-05-24,华南,家具,王强,32,519.0,21009.12,4347.33
S0161,2025-05-23,华南,家具,赵敏,10,374.0,4731.1,584.41
S0162,2025-05-08,华南,家具,王强,26,308.0,10130.12,883.47
S0163,2025-05-03,华北,电子产品,赵敏,21,421.0,11758.53,1471.21
S0164,2025-05-14,华北,电子产品,赵敏,17,487.0,11011.07,2426.84
S0165,2025-05-06,华北,电子产品,陈晨,25,549.0,18254.25,2614.79
S0166,2025-05-13,华北,办公用品,赵敏,16,475.0,5415.0,900.43
S0167,2025-05-20,华北,办公用品,陈晨,23,339.0,5555.36,1014.12
S0168,2025-05-21,华北,办公用品,赵敏,24,718.0,12277.8,3243.94
S0169,2025-05-06,华北,家具,李娜,30,454.0,14232.9,3415.53
S0170,2025-05-01,华北,家具,张伟,23,682.0,16391.87,2931.33
S0171,2025-05-20,华北,家具,张伟,6,131.0,821.37,204.03
S0172,2025-05-12,西南,电子产品,李娜,7,282.0,2210.88,324.61
S0173,2025-05-22,西南,电子产品,张伟,30,306.0,10281.6,2349.74
S0174,2025-05-10,西南,电子产品,王强,20,675.0,15120.0,3799.8
S0175,2025-05-17,西南,办公用品,张伟,29,190.0,3306.0,661.76
S0176,2025-05-02,西南,办公用品,刘洋,22,342.0,4514.4,1226.5
S0177,2025-05-19,西南,办公用品,陈晨,20,635.0,7620.0,1083.51
S0178,2025-05-23,西南,家具,赵敏,10,587.0,5165.6,813.94
S0179,2025-05-19,西南,家具,赵敏,16,87.0,1224.96,149.21
S0180,2025-05-11,西南,家具,刘洋,21,197.0,3640.56,412.04
S0181,2025-06-05,华东,电子产品,刘洋,37,792.0,53333.28,10197.0
S0182,2025-06-13,华东,电子产品,王强,33,793.0,47627.58,5158.98
S0183,2025-06-21,华东,电子产品,陈晨,34,362.0,22400.56,2150.67
S0184,2025-06-23,华东,办公用品,张伟,6,392.0,2293.2,398.71
S0185,2025-06-23,华东,办公用品,张伟,15,210.0,3071.25,802.89
S0186,2025-06-05,华东,办公用品,王强,27,247.0,6502.28,899.99
S0187,2025-06-01,华东,家具,张伟,39,502.0,27996.54,5001.81
S0188,2025-06-21,华东,家具,赵敏,14,255.0,5105.1,1269.73
S0189,2025-06-20,华东,家具,陈晨,24,547.0,18773.04,4018.19
S0190,2025-06-18,华南,电子产品,赵敏,26,121.0,5065.06,776.58
S0191,2025-06-08,华南,电子产品,王强,35,323.0,18201.05,4530.16
S0192,2025-06-09,华南,电子产品,赵敏,23,633.0,23439.99,5869.45
S0193,2025-06-03,华南,办公用品,刘洋,20,734.0,12661.5,2499.69
S0194,2025-06-21,华南,办公用品,赵敏,18,325.0,5045.62,907.02
S0195,2025-06-24,华南,办公用品,刘洋,23,155.0,3074.81,491.08
S0196,2025-06-01,华南,家具,王强,27,534.0,18238.77,2106.6
S0197,2025-06-15,华南,家具,刘洋,16,217.0,4392.08,373.17
S0198,2025-06-04,华南,家具,赵敏,29,402.0,14747.37,2086.86
S0199,2025-06-05,华北,电子产品,陈晨,24,85.0,2713.2,367.92
S0200,2025-06-20,华北,电子产品,赵敏,23,536.0,16396.24,4531.28
S0201,2025-06-16,华北,电子产品,刘洋,35,423.0,19690.65,4573.87
S0202,2025-06-15,华北,办公用品,陈晨,23,598.0,9799.72,2671.82
S0203,2025-06-13,华北,办公用品,陈晨,21,704.0,10533.6,1083.07
S0204,2025-06-24,华北,办公用品,赵敏,33,396.0,9310.95,1774.86
S0205,2025-06-04,华北,家具,李娜,19,778.0,15447.19,4277.57
S0206,2025-06-16,华北,家具,王强,33,608.0,20966.88,4822.31
S0207,2025-06-13,华北,家具,陈晨,5,169.0,883.03,77.87
S0208,2025-06-21,西南,电子产品,王强,38,432.0,18385.92,5094.89
S0209,2025-06-02,西南,电子产品,陈晨,16,784.0,14049.28,2280.41
S0210,2025-06-13,西南,电子产品,陈晨,27,141.0,4263.84,814.79
S0211,2025-06-06,西南,办公用品,张伟,14,745.0,6258.0,1530.18
S0212,2025-06-09,西南,办公用品,张伟,6,348.0,1252.8,112.43
S0213,2025-06-16,西南,办公用品,陈晨,37,566.0,12565.2,2797.66
S0214,2025-06-10,西南,家具,陈晨,5,703.0,3093.2,704.9
S0215,2025-06-03,西南,家具,赵敏,18,115.0,1821.6,231.17
S0216,2025-06-23,西南,家具,赵敏,13,697.0,7973.68,645.07
S0217,2025-07-19,华东,电子产品,王强,14,567.0,14447.16,1241.32
S0218,2025-07-07,华东,电子产品,李娜,29,724.0,38212.72,8189.85
S0219,2025-07-19,华东,电子产品,刘洋,19,694.0,23998.52,3590.33
S0220,2025-07-11,华东,办公用品,王强,36,295.0,10354.5,2050.85
S0221,2025-07-21,华东,办公用品,李娜,9,277.0,2430.68,625.44
S0222,2025-07-11,华东,办公用品,陈晨,28,141.0,3849.3,571.18
S0223,2025-07-16,华东,家具,李娜,19,661.0,17959.37,5024.11
S0224,2025-07-03,华东,家具,赵敏,32,373.0,17068.48,1832.54
S0225,2025-07-18,华东,家具,赵敏,11,798.0,12552.54,2763.77
S0226,2025-07-06,华南,电子产品,王强,7,362.0,4079.74,1073.22
S0227,2025-07-02,华南,电子产品,张伟,17,176.0,4817.12,737.38
S0228,2025-07-08,华南,电子产品,王强,17,225.0,6158.25,514.42
S0229,2025-07-11,华南,办公用品,王强,38,536.0,17567.4,2611.54
S0230,2025-07-13,华南,办公用品,赵敏,36,770.0,23908.5,5508.34
S0231,2025-07-10,华南,办公用品,李娜,39,284.0,9553.05,2478.06
S0232,2025-07-08,华南,家具,赵敏,24,314.0,9533.04,2495.87
S0233,2025-07-15,华南,家具,赵敏,39,614.0,30291.69,6002.27
S0234,2025-07-08,华南,家具,李娜,5,295.0,1865.88,239.34
S0235,2025-07-01,华北,电子产品,李娜,11,191.0,2794.33,712.17
S0236,2025-07-15,华北,电子产品,陈晨,7,484.0,4506.04,1074.22
S0237,2025-07-23,华北,电子产品,刘洋,27,395.0,14184.45,2485.85
S0238,2025-07-17,华北,办公用品,刘洋,25,565.0,10064.06,2444.84
S0239,2025-07-05,华北,办公用品,赵敏,14,647.0,6453.83,755.33
S0240,2025-07-08,华北,办公用品,刘洋,16,153.0,1744.2,367.3
S0241,2025-07-04,华北,家具,张伟,32,449.0,15014.56,2501.34
S0242,2025-07-08,华北,家具,张伟,37,771.0,29810.72,2998.97
S0243,2025-07-24,华北,家具,王强,6,257.0,1611.39,150.03
S0244,2025-07-02,西南,电子产品,张伟,14,451.0,7071.68,1007.81
S0245,2025-07-19,西南,电子产品,张伟,34,160.0,6092.8,955.97
S0246,2025-07-24,西南,电子产品,李娜,36,582.0,23466.24,2848.9
S0247,2025-07-04,西南,办公用品,张伟,22,363.0,4791.6,782.57
S0248,2025-07-04,西南,办公用品,张伟,15,160.0,1440.0,363.68
S0249,2025-07-01,西南,办公用品,李娜,8,445.0,2136.0,380.0
S0250,2025-07-12,西南,家具,刘洋,19,390.0,6520.8,1539.67
S0251,2025-07-15,西南,家具,李娜,23,267.0,5404.08,780.88
S0252,2025-07-09,西南,家具,李娜,36,425.0,13464.0,2917.0
S0253,2025-08-12,华东,电子产品,张伟,31,318.0,17941.56,4773.84
S0254,2025-08-05,华东,电子产品,张伟,22,411.0,16456.44,3658.46
S0255,2025-08-01,华东,电子产品,刘洋,26,114.0,5394.48,580.67
S0256,2025-08-20,华东,办公用品,张伟,8,86.0,670.8,78.93
S0257,2025-08-12,华东,办公用品,李娜,10,159.0,1550.25,316.3
S0258,2025-08-17,华东,办公用品,刘洋,8,489.0,3814.2,755.36
S0259,2025-08-13,华东,家具,赵敏,22,83.0,2611.18,654.55
S0260,2025-08-24,华东,家具,刘洋,21,197.0,5915.91,1387.8
S0261,2025-08-14,华东,家具,王强,15,263.0,5641.35,1487.96
S0262,2025-08-02,华南,电子产品,王强,38,514.0,31446.52,8708.48
S0263,2025-08-14,华南,电子产品,陈晨,30,665.0,32119.5,4614.92
S0264,2025-08-13,华南,电子产品,王强,8,512.0,6594.56,812.92
S0265,2025-08-21,华南,办公用品,张伟,27,308.0,7172.55,685.85
S0266,2025-08-17,华南,办公用品,张伟,30,329.0,8512.88,713.44
S0267,2025-08-08,华南,办公用品,陈晨,28,602.0,14538.3,3221.95
S0268,2025-08-04,华南,家具,赵敏,33,308.0,12857.46,3317.27
S0269,2025-08-17,华南,家具,陈晨,13,170.0,2795.65,304.01
S0270,2025-08-03,华南,家具,刘洋,7,204.0,1806.42,327.79
S0271,2025-08-14,华北,电子产品,刘洋,14,82.0,1526.84,127.21
S0272,2025-08-14,华北,电子产品,刘洋,25,500.0,16625.0,1751.98
S0273,2025-08-04,华北,电子产品,赵敏,8,713.0,7586.32,1420.46
S0274,2025-08-11,华北,办公用品,赵敏,11,276.0,2163.15,194.91
S0275,2025-08-24,华北,办公用品,刘洋,9,292.0,1872.45,398.32
S0276,2025-08-04,华北,办公用品,李娜,11,93.0,728.89,145.15
S0277,2025-08-15,华北,家具,赵敏,34,709.0,25190.77,3293.26
S0278,2025-08-19,华北,家具,陈晨,11,478.0,5494.61,874.92
S0279,2025-08-07,华北,家具,陈晨,23,602.0,14469.07,2798.14
S0280,2025-08-23,西南,电子产品,赵敏,30,788.0,26476.8,4338.34
S0281,2025-08-09,西南,电子产品,赵敏,37,88.0,3646.72,872.32
S0282,2025-08-19,西南,电子产品,刘洋,19,373.0,7937.44,784.33
S0283,2025-08-12,西南,办公用品,张伟,28,364.0,6115.2,1324.04
S0284,2025-08-17,西南,办公用品,李娜,17,772.0,7874.4,910.98
S0285,2025-08-06,西南,办公用品,李娜,37,698.0,15495.6,4067.85
S0286,2025-08-16,西南,家具,刘洋,16,418.0,5885.44,1334.22
S0287,2025-08-03,西南,家具,陈晨,27,352.0,8363.52,1533.9
S0288,2025-08-23,西南,家具,赵敏,27,606.0,14398.56,3406.58
S0289,2025-09-17,华东,电子产品,刘洋,20,155.0,5642.0,1471.4
S0290,2025-09-01,华东,电子产品,李娜,35,654.0,41659.8,4164.83
S0291,2025-09-06,华东,电子产品,刘洋,20,615.0,22386.0,1894.48
S0292,2025-09-23,华东,办公用品,刘洋,39,351.0,13346.78,2987.84
S0293,2025-09-09,华东,办公用品,赵敏,27,364.0,9582.3,1378.19
S0294,2025-09-01,华东,办公用品,赵敏,24,498.0,11653.2,1885.81
S0295,2025-09-02,华东,家具,李娜,25,753.0,26919.75,4671.33
S0296,2025-09-19,华东,家具,张伟,16,351.0,8030.88,1275.48
S0297,2025-09-02,华东,家具,王强,16,197.0,4507.36,977.7
S0298,2025-09-05,华南,电子产品,张伟,5,767.0,6174.35,794.76
S0299,2025-09-09,华南,电子产品,李娜,21,622.0,21029.82,5387.99
S0300,2025-09-12,华南,电子产品,赵敏,21,225.0,7607.25,891.21
S0301,2025-09-04,华南,办公用品,张伟,6,417.0,2157.97,284.61
S0302,2025-09-06,华南,办公用品,赵敏,5,426.0,1837.12,499.45
S0303,2025-09-06,华南,办公用品,李娜,28,436.0,10529.4,1075.46
S0304,2025-09-08,华南,家具,刘洋,9,292.0,3324.42,774.46
S0305,2025-09-15,华南,家具,刘洋,32,729.0,29509.92,8171.7
S0306,2025-09-10,华南,家具,张伟,17,766.0,16472.83,1554.45
S0307,2025-09-11,华北,电子产品,张伟,37,299.0,14713.79,2804.15
S0308,2025-09-10,华北,电子产品,赵敏,33,688.0,30196.32,6140.46
S0309,2025-09-11,华北,电子产品,张伟,23,199.0,6087.41,795.33
S0310,2025-09-13,华北,办公用品,陈晨,8,693.0,3950.1,777.56
S0311,2025-09-21,华北,办公用品,王强,30,293.0,6262.88,966.05
S0312,2025-09-02,华北,办公用品,李娜,8,627.0,3573.9,837.97
S0313,2025-09-06,华北,家具,刘洋,26,757.0,20567.69,2141.74
S0314,2025-09-05,华北,家具,刘洋,30,152.0,4765.2,633.33
S0315,2025-09-02,华北,家具,王强,26,209.0,5678.53,923.97
S0316,2025-09-04,西南,电子产品,刘洋,11,256.0,3153.92,700.32
S0317,2025-09-13,西南,电子产品,赵敏,25,709.0,19852.0,2935.4
S0318,2025-09-08,西南,电子产品,张伟,30,258.0,8668.8,1117.92
S0319,2025-09-01,西南,办公用品,陈晨,6,756.0,2721.6,701.08
S0320,2025-09-11,西南,办公用品,赵敏,16,452.0,4339.2,772.91
S0321,2025-09-09,西南,办公用品,张伟,18,466.0,5032.8,840.04
S0322,2025-09-03,西南,家具,王强,17,170.0,2543.2,687.81
S0323,2025-09-09,西南,家具,赵敏,34,766.0,22918.72,2583.29
S0324,2025-09-21,西南,家具,张伟,38,229.0,7657.76,1000.39
S0325,2025-10-01,华东,电子产品,李娜,18,165.0,5405.4,1423.62
S0326,2025-10-24,华东,电子产品,王强,37,517.0,34814.78,6023.06
S0327,2025-10-21,华东,电子产品,刘洋,23,462.0,19339.32,2271.36
S0328,2025-10-09,华东,办公用品,王强,9,669.0,5870.48,1340.36
S0329,2025-10-17,华东,办公用品,王强,34,190.0,6298.5,1663.64
S0330,2025-10-02,华东,办公用品,陈晨,24,116.0,2714.4,403.04
S0331,2025-10-16,华东,家具,陈晨,28,528.0,21141.12,4866.0
S0332,2025-10-13,华东,家具,王强,33,232.0,10948.08,2898.58
S0333,2025-10-14,华东,家具,刘洋,15,540.0,11583.0,931.99
S0334,2025-10-10,华南,电子产品,王强,14,282.0,6356.28,587.4
S0335,2025-10-19,华南,电子产品,赵敏,32,172.0,8861.44,978.88
S0336,2025-10-16,华南,电子产品,李娜,22,362.0,12822.04,3389.77
S0337,2025-10-08,华南,办公用品,赵敏,19,602.0,9865.27,1699.0
S0338,2025-10-15,华南,办公用品,刘洋,28,511.0,12340.65,2154.14
S0339,2025-10-03,华南,办公用品,陈晨,23,326.0,6467.02,746.6
S0340,2025-10-24,华南,家具,王强,39,689.0,33991.82,2993.0
S0341,2025-10-07,华南,家具,刘洋,15,722.0,13699.95,3149.94
S0342,2025-10-05,华南,家具,李娜,20,462.0,11688.6,2477.97
S0343,2025-10-18,华北,电子产品,陈晨,17,762.0,17228.82,2640.61
S0344,2025-10-04,华北,电子产品,陈晨,18,370.0,8857.8,1703.92
S0345,2025-10-08,华北,电子产品,王强,25,446.0,14829.5,3876.69
S0346,2025-10-17,华北,办公用品,王强,11,545.0,4271.44,634.19
S0347,2025-10-20,华北,办公用品,张伟,21,396.0,5925.15,623.1
S0348,2025-10-18,华北,办公用品,赵敏,16,560.0,6384.0,1347.69
S0349,2025-10-20,华北,家具,李娜,15,94.0,1473.45,214.11
S0350,2025-10-19,华北,家具,李娜,10,640.0,6688.0,1686.22
S0351,2025-10-21,华北,家具,李娜,36,560.0,21067.2,2230.44
S0352,2025-10-07,西南,电子产品,陈晨,31,179.0,6214.88,849.6
S0353,2025-10-24,西南,电子产品,赵敏,37,735.0,30458.4,3670.37
S0354,2025-10-14,西南,电子产品,赵敏,24,585.0,15724.8,4254.89
S0355,2025-10-02,西南,办公用品,李娜,31,263.0,4891.8,1003.29
S0356,2025-10-11,西南,办公用品,陈晨,30,782.0,14076.0,2251.25
S0357,2025-10-17,西南,办公用品,刘洋,24,96.0,1382.4,221.2
S0358,2025-10-05,西南,家具,刘洋,38,519.0,17355.36,2929.39
S0359,2025-10-21,西南,家具,赵敏,34,694.0,20764.48,2999.29
S0360,2025-10-20,西南,家具,王强,29,432.0,11024.64,2275.93
S0361,2025-11-23,华东,电子产品,刘洋,33,255.0,15315.3,4020.79
S0362,2025-11-01,华东,电子产品,陈晨,16,687.0,20005.44,5514.32
S0363,2025-11-03,华东,电子产品,王强,39,630.0,44717.4,10397.6
